name,tagline,title,paragraph,imagetag,min_N,max_N,range_N,mean_N,min_P,max_P,range_P,mean_P,min_K,max_K,range_K,mean_K,min_Temp,max_Temp,range_Temp,mean_Temp,min_RH,max_RH,range_RH,mean_RH,min_Rf,max_Rf,range_Rf,mean_Rf,min_ph,max_ph,range_ph,mean_ph
apple,"From blossom to harvest, every apple tells the story of dedication and nurture.",Apple Farming: Growth & Guidance,"Apples are one of the most widely grown fruit crops, thriving in temperate climates with well-drained soil and adequate sunlight. Proper orchard management, including pruning, pest control, and irrigation, is essential for a healthy yield. The apple tree life cycle includes flowering, pollination, fruit development, and harvest. Different varieties require specific care, and understanding soil conditions, weather patterns, and disease management helps ensure quality production. Successful apple farming combines traditional knowledge with modern techniques for optimal growth and sustainability.",A Farmer's Visual Guide to Apple Growth.,0,40,40,20.8,120,145,25,134.22,195,205,10,199.89,21.04,24,2.96,22.63,90.03,94.92,4.89,92.33,100.12,124.98,24.87,112.65,5.51,6.5,0.98,5.93
banana,Nurturing every banana plant for a harvest full of promise.,Mastering Banana Farming: From Soil to Bunch,"Bananas flourish in warm, humid climates with rich, well-drained soil. Successful cultivation requires careful irrigation, proper spacing, and proactive disease management. From the early stages of sucker development to the formation of fruit-bearing clusters, each phase demands attention to detail. Selecting the right variety based on regional conditions helps maximize yield and quality. With the right balance of traditional wisdom and innovative farming techniques, banana growers can ensure a thriving and sustainable harvest.",Understanding the Growth Journey of Bananas.,80,120,40,100.23,70,95,25,82.01,45,55,10,50.05,25.01,29.91,4.9,27.38,75.03,84.98,9.95,80.36,90.11,119.85,29.74,104.63,5.51,6.49,0.98,0.98
blackgram,"Cultivating resilience, one black gram harvest at a time.",Black Gram Farming: Growth & Success,"Black gram, a hardy legume, thrives in warm climates with well-drained, loamy soil. Proper crop rotation, timely irrigation, and pest control play a crucial role in achieving a healthy yield. The plant progresses through key growth stages, from germination to pod formation, requiring balanced nutrients and weed management. Choosing the right variety and monitoring soil health can significantly improve productivity. By integrating sustainable practices, farmers can enhance soil fertility and ensure a profitable black gram harvest.",A Farmers Insight into Black Gram Cultivation.,20,60,40,40.02,55,80,25,67.47,15,25,10,19.24,25.1,34.95,9.85,29.97,60.07,69.96,9.9,65.12,60.42,74.92,14.5,67.88,6.5,7.78,1.28,7.13
chickpea,"Sowing resilience, harvesting nutrition.",Chickpea Farming: Smart & Sustainable,"Chickpeas are a resilient crop, well-suited for dry climates and nutrient-rich, well-drained soils. They require minimal water but benefit from timely irrigation during pod formation. Proper disease and pest control, along with soil enrichment, help boost productivity. Chickpeas play a vital role in soil health by naturally fixing nitrogen, reducing the need for synthetic fertilizers. With the right balance of traditional knowledge and innovative techniques, farmers can ensure a strong and profitable yield.",A Step-by-Step Guide to Chickpea Farming.,20,60,40,40.09,55,80,25,67.79,75,85,10,79.92,17.02,21,3.97,18.87,14.2,19.97,5.71,16.86,65.11,94.78,29.67,80.06,5.99,8.87,2.88,7.34
coconut,"From sandy shores to towering palms, coconuts sustain and thrive.",Coconut Farming: Resilient & Rewarding,"Coconut farming thrives in tropical climates with well-drained sandy or loamy soils and ample sunlight. Regular irrigation, proper spacing, and nutrient management are key to maximizing yield. Pests like rhinoceros beetles and mites require consistent monitoring and eco-friendly control measures. With its long lifespan, coconut trees provide a steady source of income, offering products like oil, water, and coir. By integrating modern farming techniques with traditional wisdom, farmers can ensure sustainable and profitable coconut cultivation.",Comprehenasive Guide to Coconut Cultivation..,0,40,40,21.98,5,30,25,16.93,25,35,10,30.59,25.01,29.87,4.86,27.41,90.02,99.98,9.96,94.84,131.09,225.63,94.54,175.69,5.5,6.47,0.97,5.98
coffee,"From rich soil to aromatic brews, every coffee bean tells a story.",Coffee Farming: Cultivating Quality & Care,"Coffee thrives in tropical climates with well-distributed rainfall, high altitudes, and nutrient-rich soil. Proper shade management, pest control, and timely harvesting are key to producing high-quality beans. The coffee plant undergoes stages from flowering to cherry ripening, requiring careful monitoring to ensure optimal growth. Varietal selection, soil health, and post-harvest processing techniques play a crucial role in flavor development. Sustainable farming practices and modern innovations help farmers enhance yield while preserving the environment.",A Farmer's Visual Guide to Coffee Cultivation.,80,120,40,101.2,15,40,25,28.74,25,35,10,29.94,23.06,27.92,4.86,25.54,50.05,69.95,19.9,58.87,115.16,199.47,84.32,158.07,6.02,7.49,1.47,6.79
cotton,"From seed to fabric, every cotton boll carries the farmer's dedication.",Cotton Farming: Nurturing Growth & Quality,"Cotton is a vital cash crop that flourishes in warm climates with moderate rainfall and well-drained soil. Proper pest management, timely irrigation, and nutrient application are crucial for achieving high fiber quality. The cotton plant progresses through key growth stages, including germination, flowering, boll formation, and harvest. Selecting the right variety, implementing sustainable farming techniques, and managing soil fertility help ensure a productive yield. Modern advancements in biotechnology and precision farming further enhance cotton production efficiency.",A Farmer's Visual Guide to Cotton Cultivation.,100,140,40,117.77,35,60,25,46.24,15,25,10,19.56,22,25.99,3.99,23.99,75.01,84.88,9.87,79.84,60.65,99.93,39.28,80.4,5.8,7.99,2.19,6.91
grapes,"Vine to vintage, every grape reflects the farmer's craft.",Grape Farming: Cultivating Quality & Flavor,"Grapes are a versatile crop grown in diverse climates, requiring well-drained soil, adequate sunlight, and proper vine management. Key practices like trellising, pruning, and canopy control help optimize fruit quality and yield. The grapevine lifecycle includes budding, flowering, fruit set, and ripening, with different varieties suited for fresh consumption, winemaking, or drying. Sustainable pest management and irrigation strategies are essential for disease prevention and balanced growth. Modern viticulture combines tradition with innovation to enhance productivity and sustainability.",A Farmer's Visual Guide to Grape Cultivation.,0,40,40,23.18,120,145,25,132.53,195,205,10,200.11,8.83,41.95,33.12,23.85,80.02,83.98,3.97,81.88,65.01,74.92,9.9,69.61,5.51,6.5,0.99,6.03
jute,"From seed to fiber, nurturing nature's golden threat.",Jute Farming: Strength & Sustainability,"Jute is a vital fiber crop, primarily grown in warm, humid climates with well-drained alluvial soil. Successful cultivation requires timely sowing, proper field preparation, and adequate water management. The jute plant undergoes key growth stages, from germination to harvesting, followed by retting to extract fibers. Disease and pest management play a crucial role in ensuring a healthy yield. With eco-friendly farming techniques and improved processing methods, jute farming supports both sustainability and economic growth for farmers.",A Farmer's Visual Guide to Jute Cultivation.,60,100,40,78.4,35,60,25,46.86,35,45,10,39.99,23.09,26.99,3.89,24.96,70.88,89.89,19.01,79.64,150.24,199.84,49.6,174.79,6,7.49,1.49,6.73
kidneybean,"Cultivating nourishment, one bean at a time.",Kidney Bean Farming: Growth & Nutrition,"Kidney beans are a protein-rich legume crop that thrives in well-drained, loamy soil with moderate temperatures and adequate rainfall. Proper seed selection, soil preparation, and pest management are essential for a healthy yield. The plant progresses through stages of germination, vegetative growth, flowering, and pod formation before harvest. Crop rotation and balanced fertilization help maintain soil fertility and disease resistance. With careful planning and sustainable practices, kidney bean farming ensures high-quality production and economic benefits for growers.",A Farmer's Visual Guide to Kidney Bean Cultivation.,0,40,40,20.75,55,80,25,67.54,15,25,10,20.05,15.33,24.92,9.59,20.12,18.09,24.97,6.88,21.61,60.28,149.74,89.47,105.92,5.5,6,0.5,5.75
